State,FMID,MarketName,Website,Facebook,Twitter,Youtube,OtherMedia,street,city,County,zip,Season1Date,Season1Time,Season2Date,Season2Time,Season3Date,Season3Time,Season4Date,Season4Time,x,y,Location,Credit,WIC,WICcash,SFMNP,SNAP,Organic,Bakedgoods,Cheese,Crafts,Flowers,Eggs,Seafood,Herbs,Vegetables,Honey,Jams,Maple,Meat,Nursery,Nuts,Plants,Poultry,Prepared,Soap,Trees,Wine,Coffee,Beans,Fruits,Grains,Juices,Mushrooms,PetFood,Tofu,WildHarvested,updateTime
California,1002085,Arcata Plaza Farmers' Market,http://www.humfarm.org,https://www.facebook.com/North.Coast.Growers.Association,,,,9th and H Streets,Arcata,Humboldt,95521,01/01/2014 to 12/31/2014,Sat: 9:00 AM-2:00 PM;,,,,,,,-124.08688,40.868397,Local government building grounds,Y,Y,N,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,4/25/2014 14:45
California,1000294,Arnold-Mountain Growers Farmers Market,,,,,,"Cedar Center, Hwy. 4 & Oak Circle",Murphys,Calaveras,95247,,,,,,,,,-120.362,38.238998,,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
California,1001892,Arroyo Grande Oak Park Plaza Farmers Market,,,,,,"East Branch, K-Mart Parking lot",Arroyo Grande,San Luis Obispo,93420,,,,,,,,,-120.552,35.127102,,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
California,1001893,Arroyo Grande Spencers CFM,,,,,,1464 E. Grand Avenue,Arroyo Grande,SAN LUIS OBISPO,,,,,,,,,,-120.606,35.122101,,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011
California,1009447,Atascadero  Farmers Market,http://www.northcountyfarmersmarkets.com/,https://www.facebook.com/NorthCountyFarmersMarkets,,,,Albertson's parking lot on El Camino Real,Atascadero,San Luis Obispo,93422,,,,,,,,,-120.664,35.485802,,Y,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013
California,1003911,Atascadero Farmers Market,,,,,,Morro Road & El Camino Real,Paso Robles,San Luis Obispo,93447,,,,,,,,,-120.667,35.488201,,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
California,1001294,Atascadero Main Street CFM,,,,,,Palma & Entrada,Atascadero,San Luis Obispo,93422,,,,,,,,,-120.669,35.490101,,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
California,1010003,Atwater Village Farmers' Market,http://www.seela.org/atwater-village-farmers-market/,https://www.facebook.com/pages/Atwater-Village-Farmers-Market/336210064056,https://twitter.com/AtwaterFM,,www.instagram.com/atwatervillagefm,3250 Glendale Blvd,Los Angeles ,Los Angeles,90039,01/01/2014 to 12/31/2014,Sun: 10:00 AM-2:00 PM;,,,,,,,-118.25983,34.118435,Private business parking lot,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,8/7/2014 16:26
California,1000655,Auburn Dewitt Center Farmers Market,http://www.foothillfarmersmarket.com,,,,,"DeWitt Center, B Avenue at First Street",Auburn,Placer,95602,,,,,,,,,-121.098,38.921799,,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
California,1001569,Auburn Marketplace Farmers Market,,,,,,Lincoln Way & Cherry Ave.,Auburn,Placer,95603,,,,,,,,,-121.068,38.9007,,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
California,1000736,Auburn Old Town Farmers Market,http://www.foothillfarmersmarket.com,,,,,Auburn-Folsom Rd. & Lincoln Way,Auburn,Placer,95603,,,,,,,,,-121.076,38.896099,,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Apr 26 2010  5:12PM
California,1000540,Bakersfield Health Dept CFM,,,,,,1800 Mt. Vernon Ave.,Bakersfield,KERN,,,,,,,,,,-118.968,35.382999,,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011
California,1003134,Bakersfield Mt. Vernon Farmers Market,,,,,,Mt. Vernon & BC Football Field,Lindsay,Kern,93247,,,,,,,,,-119.088,36.202999,,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
California,1001448,Bakersfield Wall St. Alley Farmers Market,,,,,,30th & F Street,Bakerfield,Kern,93309,,,,,,,,,-119.023,35.3867,,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/26/2012 9:49
California,1009163,Baldwin Lake Vegetable Market,http://www.baldwinlakenews.com/,,,,,45437 Lucky Baldwin Ranch Rd.,Big Bear City,San Bernardino,92314,,,,,,,,,-116.811,34.289101,,Y,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013
California,1003720,Baldwin Park Farmers Market,http://www.farmernet.com,,,,,Baldwin Park - Cesar Chavez & Ramond,Baldwin Park,Los Angeles,91706,,,,,,,,,-117.965,34.085602,,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
California,1012134,banning market night,,facebook.com/banningmarketnight,,,,1170 W Ramsey Street,banning,Riverside,92220,05/10/2016 to 10/25/2016,Tue: 6:00 PM-9:00 PM;,,,,,,,-116.88953,33.924896,,Y,N,N,N,N,-,Y,N,Y,N,Y,N,Y,Y,Y,Y,N,N,N,N,N,N,N,Y,N,N,Y,N,Y,N,N,N,N,N,N,6/30/2016 14:44
California,1002936,Barstow Market Festival Farmers Market,,,,,,"East Main St.,From Barstow to 2nd",Barstow,San Bernardino,92312,,,,,,,,,-117.023,34.8988,,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
California,1009448,Baywood Los Osos Farmers Market,http://www.northcountyfarmersmarkets.com/,https://www.facebook.com/NorthCountyFarmersMarkets,,,,2nd & Santa Maria Streets by the bay,Baywood,San Luis Obispo,93402,,,,,,,,,-120.841,35.328201,,Y,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013
California,1003912,Baywood/Los Osos Certified Farmers Market,http://www.northcountyfarmersmarkets.com,,,,,2nd Street & Santa Maria,Baywood ,San Luis Obispo,93412,,Mon: 2:00 PM-4:30 PM;,,,,,,,-120.8409,35.328156,Closed-off public street,Y,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,Y,N,N,N,Y,N,N,N,N,N,N,6/27/2013 15:44
California,1004824,Bella Vista CFM,,,,,,22509 Old Alturas Rd.,Bella Vista,Shasta,,,,,,,,,,-122.235,40.637798,,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011
California,1004973,Bellflower Farmers Market,http://www.farmernet.com,,,,,Oak & Clark Street,Bellflower,Los Angeles,90706,,,,,,,,,-118.134,33.884701,,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
California,1011488,Belmont Certified Farmers' Market,http://pcfma.org,facebook.com/BelmontMarket,twitter.com/PacCoastFarmers,,instagram.com/pcfma,El Camino Real and O'Neill St.,Belmont,San Mateo,94002,01/01/2015 to 12/31/2015,Sun: 9:00 AM-1:00 PM;,,,,,,,-122.2736,37.518818,,Y,Y,N,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,N,N,Y,N,N,Y,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,7/22/2015 14:13
California,1001533,Benica Certified Farmers Market,http://www.beniciamainstreet.org,,,,,First Street between B & D Streets,Benicia,Solano,94510,04/24/2014 to 10/30/2014,Thu: 4:00 PM-8:00 PM;,,,,,,,-122.16119,38.046215,,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,N,N,Y,Y,N,N,Y,N,Y,N,N,Y,N,N,N,7/26/2018 16:09
California,1011447,Berryessa Farmers' Market,http://www.pcfma.org,www.facebook.com/BerryessaFarmersMarket,www.twitter.com/PacCoastFarmers,,,1376 Piedmont Road,San Jose ,Santa Clara,95132,01/01/2015 to 12/31/2015,Sat: 9:00 AM-1:00 PM;,,,,,,,-121.84737,37.402039,,Y,Y,N,N,Y,Y,Y,N,N,Y,N,Y,N,Y,Y,N,N,N,N,N,Y,Y,Y,N,Y,N,N,N,Y,N,N,Y,N,N,N,7/20/2015 14:02
California,1001460,Beverly Hills Farmers Market,http://www.beverlyhills.org/farmersmarket,https://www.facebook.com/BHFarmersMarket,,,,9300 Civic Center Drive,Beverly Hills,Los Angeles,90210,01/01/2013 to 12/31/2013,Sun: 9:00 AM-1:00 PM;,,,,,,,-118.39891,34.074257,Closed-off public street,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,Y,Y,N,N,N,3/17/2014 10:52
California,1005949,Big Bear Farmers Market,http://www.highdesertfarmersmarket.com,https://www.facebook.com/BigBearFarmersMarket,,,,42900 Big Bear Blvd,City of Big Bear Lake,San Bernardino,92315,04/01/2018 to 09/25/2018,Tue: 8:30 AM-1:00 PM;,,,,,,,-116.86671,34.260803,,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,N,N,Y,N,N,8/8/2018 16:44
California,1011854,Bishop Farmers' Market - Eastern Sierra Certified Farmers Market,,Bishop Farmers' Market,,,,200 Church Street,Bishop,Inyo,93514,06/25/2016 to 10/29/2016,Sat: 9:00 AM-12:00 PM;,,,,,,,-118.39743,37.36211,,Y,Y,Y,Y,N,Y,N,N,N,Y,Y,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,N,4/1/2016 14:09
California,1003485,Bishop Market,,,,,,377 W Line St,Bishop,Inyo,,,,,,,,,,-118.398,37.3615,,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011
California,1002737,Blossom Hill Certified Farmers' Market,http://www.cafarmersmkts.com/markets/category/blossom,https://www.Facebook.com/SanJoseFarmersMarket,https://twitter.com/cafarmersmkts,,http://www.pinterest.com/cafarmersmkts/,Santa Teresa Blvd and Highway 85 & 87 Interchange,San Jose,Santa Clara,95136,01/01/2016 to 12/31/2016,Sun: 9:00 AM-1:00 PM;,,,,,,,-121.86002,37.256325,,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,N,N,N,7/20/2016 17:31
California,1001907,Boonville CFM,,,,,,14040 Hwy 128- Boonville Hotel,Boonville,Mendocino,95415,May to October,Sat:9:30 am - 12:00 pm;,,,,,,,-123.368,39.009102,Private business parking lot,N,Y,N,N,N,Y,N,N,Y,Y,N,N,Y,Y,Y,Y,N,N,N,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,4/13/2011 18:19
California,1000293,Borrego Springs Chamber of Commerce Farmers Market,,,,,,Christmas Circle and Palm Canyon Drive,Borrego Springs,San Diego,92004,,,,,,,,,-116.378,33.256599,,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
California,1003139,Brea Farmers Market,,,,,,Brea Blvd. & Birch St.,Brea,Orange,92821,,,,,,,,,-118.236,34.039101,,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
California,1011349,Brentwood Farmers' Market,http://www.pcfma.org,https://www.facebook.com/BrentwoodFarmersMarket,,,,First St. and Oak St.,Brentwood,Contra Costa,,03/07/2015 to 11/21/2015,Sat: 8:00 AM-12:00 PM;,,,,,,,-121.69482,37.932621,,Y,Y,N,N,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,Y,Y,Y,N,N,N,N,Y,N,Y,Y,N,N,N,7/14/2015 11:19
California,1000541,Brimhall CFM,,,,,,9500 Brimhall Road,Bakersfield,Kern,,,,,,,,,,-119.108,35.369598,,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011
California,1006584,Brookside Farmers' Market,http://www.pcfma.com/market_home.php?market_id=75,,,,,3603 St. Andrews Dr.,Stockton,San Joaquin,95219,May to September,Thu:4:00 AM - 7:00 PM;,,,,,,,-121.35947,37.978809,Private business parking lot,N,Y,N,Y,Y,-,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,6/13/2012 12:28
California,1001326,Brownsville Farmers Market,http://www.brownsvillefarmersmarket.net,,,,,16822 Willow Glen Road,Brownsville,Yuba,95919,06/14/2014 to 09/06/2014,Sat: 9:00 AM-12:00 PM;,,,,,,,-121.28316,39.457104,Other,N,N,N,N,N,-,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,Y,Y,N,N,Y,Y,N,Y,N,Y,N,N,N,N,N,N,5/24/2014 18:51
California,1000843,Burbank Certified Farmers' Market,http://www.burbankfarmersmarket.org,https://www.facebook.com/burbankfarmersmarket,@BurbFarmMkt,,burbankfarmersmarket,"150 N. Third Street Burbank, CA 91502",Burbank,Los Angeles,91502,,,01/01/2016 to 12/31/2016,Sat: 8:00 AM-12:30 PM;,,,,,-118.30798,34.1828,,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N,Y,Y,N,N,N,12/19/2018 10:09
California,1005322,Burlingame Fresh Market Farmers Market,http://www.burlingamechamber.org,,,,,Howard Ave. & Park,Burlingame,San Mateo,94010,,,,,,,,,-122.346,37.577301,,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
California,1006194,Burney Certfied Farmers Market,http://www.shastagrowersassociation.com,,,,,37143 Main St,Burney,Shasta,96013,July to October,Wed:3:00 pm - 6:00 pm;,,,,,,,-121.664,40.882099,Private business parking lot,N,Y,N,Y,N,Y,Y,N,Y,Y,N,N,Y,Y,Y,Y,N,Y,N,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,5/2/2011 0:21
California,1002006,Burney Wednesday Farmers Market,,,,,,VFW Hall - Main Street,Redding,Shasta,96099,,,,,,,,,-122.367,40.678299,,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
California,1003449,Calabasas Old Town Farmers Market,,,,,,Calabasas & Mulholland Dr.,Calabasas,Los Angeles,91303,,,,,,,,,-118.636,34.158699,,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/24/2013 14:28
California,1010783,Calexico Farmers Market,http://calexicorecreation.org/events/calexico-farmers-market,https://www.facebook.com/clxfarmersmarket,,,,850 Encinas Avenue,Calexico,Imperial,92231,11/22/2014 to 04/18/2015,Sat: 10:00 AM-2:00 PM;,,,,,,,-115.48713,32.67585,,Y,N,N,N,N,Y,N,N,Y,Y,N,N,N,Y,Y,N,N,N,N,N,Y,N,Y,Y,Y,N,Y,N,Y,N,Y,N,N,N,N,1/22/2015 22:42
California,1007348,California Avenue Farmers' Market,http://www.urbanvillageonline.com,,,,,California Ave. and El Camino St.,Palo Alto,Santa Clara,94304,January to December,sun:9:00 AM - 1:00 PM;,,,,,,,-122.12531,37.414173,Closed-off public street,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,5/1/2012 16:36
California,1009017,Calistoga Farmers Market,http://www.calistogafarmersmarket.com,,,Calistoga Farmers Market,,1235 Washington Street ,Calistoga ,Napa,94515,05/01/2014 to 10/31/2014,Sat: 9:00 AM-1:00 PM;,11/01/2014 to 04/30/2015,Sat: 9:00 AM-1:00 PM;,,,,,-122.58023,38.578831,Local government building grounds,Y,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,Y,N,N,N,5/16/2014 17:14
California,1018257,Camarillo Hospice Certified Farmers Market,http://camarillofarmersmarket.com,,,,,2220 Ventura Blvd.,Camarillo ,Ventura,93010,01/01/2018 to 12/31/2018,Sat: 8:00 AM-12:00 PM;,,,,,,,-119.04131,34.216537,,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,N,Y,Y,Y,N,Y,N,Y,N,Y,N,Y,N,N,7/27/2018 0:09
California,1004898,Cambria Farmers Market,,,,,,"Veterans Memorial Hall, Main & Cambria Streets",Cambria,San Luis Obispo,93428,,,,,,,,,-121.096,35.5644,,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
California,1007349,Cambrian Park Farmers' Makret,http://www.urbanvillageonline.com,,,,,Camden Ave. & Union Ave.,San Jose,Santa Clara,95124,May to September,Wed:4:00 AM - 8:00 PM;,,,,,,,-121.93141,37.26181,Private business parking lot,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,5/1/2012 16:55
California,1003776,Cameron Park Wednesday Farmers' Market,http://www.eldoradofarmersmarket.com,,,,,Burke's Junction (Coach Lane),Cameron Park,El Dorado,95682,05/14/2014 to 10/08/2014,Wed: 8:00 AM-12:00 PM;,,,,,,,-120.97264,38.657726,Private business parking lot,Y,Y,N,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,N,N,N,N,N,Y,Y,Y,N,Y,N,N,N,N,Y,N,N,N,N,N,N,3/21/2014 18:01
California,1007356,Campbell Farmers' Market,http://www.urbanvillageonline.com/,,,,,Campbell Avenue at Central Ave.,Campbell,Santa Clara,95008,January to December,sun:9:00 AM - 1:00 PM;,,,,,,,-121.944,37.287102,Closed-off public street,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,5/1/2012 17:09
California,1012038,Canoga Park Certified Farmers Market,http://coastalpacificinfo.us,https://www.facebook.com/canogafarmersmarket/,,,,7248 Owensmouth st,canoga park,Los Angeles,91303,01/01/2016 to 12/31/2016,Sat: 9:00 AM-1:30 PM;,,,,,,,-118.60161,34.203747,,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,N,Y,N,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,N,N,N,7/27/2018 15:05
California,1007855,Canyon Lake CFM,,,,,,31528-31568 Railroad Canyon Road,Canyon Lake,Riverside County,,,,,,,,,,-117.253,33.673302,,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011
California,1008450,Carmel Farmers Markets at the Barnyard Shopping Village,http://www.montereybayfarmers.org,https://www.facebook.com/pages/Monterey-Bay-Certified-Farmers-Markets/112446802152723,https://twitter.com/MBFarmersMarket,,www.edibleparadise.com,3690 The Barnyard,Carmel,Monterey,93923,05/01/2018 to 09/25/2018,Tue: 9:00 AM-1:00 PM;,,,,,,,-121.92704,36.987274,,Y,Y,N,N,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,N,N,N,Y,Y,Y,N,N,Y,N,N,N,Y,N,N,N,N,N,N,7/26/2018 16:51
California,1006696,Carpenteria CFM,,,,,,800 Block Linden Ave.,Carpenteria,Santa Barbara,,,,,,,,,,-119.52,34.397598,,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011
California,1000369,Carson Farmers Market,http://www.farmernet.com,,,,,Carson St. & Bonita St.,Carson,Los Angeles,90810,,,,,,,,,-118.259,33.8316,,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
California,1011460,Castro Certified Farmers' Market,http://pcfma.org,facebook.com/CastroFarmersMarket,twitter.com/PacCoastFarmers,,instagram.com/pcfma,Noe St. and Market St.,San Francisco ,San Francisco,94114,03/11/2015 to 12/16/2015,Wed: 4:00 PM-8:00 PM;,,,,,,,-122.43311,37.764427,,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,Y,Y,Y,N,N,N,Y,Y,N,N,Y,N,N,N,7/20/2015 14:53
California,1007358,Castro Valley Farmers' Market,http://www.urbanvillage@earthlink.net,,,,, Redwood Road And Norbridge Ave.,Castro Valley,Alameda,94546,May to October,Sat:10:00 AM - 2:00 PM;,,,,,,,-122.07394,37.692554,Federal/State government building grounds,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,5/1/2012 17:25
California,1002953,Cayucos Farmers Market,,,,,,Vets Hall  Parking Lot,Cayucos,San Luis Obispo,93430,,,,,,,,,-120.912,35.4454,,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
